"Plot2"
"Tiempo (sec)","Reaction Force1 (newton)"
0.217,1005.83716337996
0.218,1002.18247456284
0.219,998.545842042261
0.22,994.847096380786
0.221,991.217684146722
0.222,987.593185721285
0.223,983.998110352535
0.224,980.330037571831
0.225,976.739338925321
0.226,973.167055705816
0.227,969.568228464087
0.228,965.982684856387
0.229,962.461534753109
0.23,958.956861957828
0.231,955.436075272635
0.232,951.91175291996
0.233,948.466159256265
0.234,945.062235173652
0.235,941.63476030009
0.236,938.325119943214
0.237,934.90786245691
0.238,931.725146343203
0.239,928.403233496477
0.24,925.076905396466
0.241,921.880229634472
0.242,918.86538231986
0.243,915.734586705083
0.244,912.624670382934
0.245,909.429395624882
0.246,906.60755498561
0.247,903.588945648806
0.248,900.764036942528
0.249,897.789183389655
0.25,894.9214496609
0.251,892.125492016389
0.252,889.443346373263
0.253,886.608956581908
0.254,883.928987209509
0.255,881.415219627948
0.256,878.703388998473
0.257,876.318651161429
0.258,873.679902096541
0.259,871.456278103834
0.26,869.05921607308
0.261,866.625032812024
0.262,864.619803977257
0.263,862.390224377757
0.264,860.075171231305
0.265,858.028128718514
0.266,856.244333167148
0.267,854.087890205895
0.268,852.187239032719
0.269,850.340866357654
0.27,848.55525034577
0.271,846.87864807405
0.272,845.217820280248
0.273,843.826832180516
0.274,842.20267824815
0.275,840.790826116482
0.276,839.448428929936
0.277,838.180392964952
0.278,836.989895853712
0.279,835.881990917492
0.28,834.854141080901
0.281,833.938974757765
0.282,833.050664632308
0.283,832.277715787827
0.284,831.503280230191
0.285,831.082886417192
0.286,830.419332364093
0.287,830.037888137868
0.288,829.688023975881
0.289,829.415776163458
0.29,829.249097588553
0.291,829.164383897634
0.292,829.170376553065
0.293,829.260269681802
0.294,829.428984325912
0.295,829.72378340077
0.296,830.137662460668
0.297,830.404848006378
0.298,831.131763415818
0.299,831.530109694051
0.3,832.356852073185
0.301,833.113114177406
0.302,833.993515456518
0.303,834.933883468188
0.304,835.959072062454
0.305,837.065376335709
0.306,838.291862648274
0.307,839.506624447052
0.308,840.798586089469
0.309,842.308968488259
0.31,843.858094971428
0.311,845.385245156809
0.312,846.995462440043
0.313,848.738781244235
0.314,850.479927614913
0.315,852.346888437302
0.316,854.279912030914
0.317,856.118530001718
0.318,858.377985727531
0.319,860.211216354186
0.32,862.597999134658
0.321,864.698502301084
0.322,866.782033409765
0.323,869.209962150446
0.324,871.798058640283
0.325,873.796692871416
0.326,876.581081645624
0.327,879.014821084161
0.328,881.584234575914
0.329,884.360474215647
0.33,886.969223561511
0.331,889.671546277585
0.332,892.496215839673
0.333,895.349590589285
0.334,898.110565822977
0.335,900.995001684633
0.336,903.885289497981
0.337,907.026735269426
0.338,909.747342314515
0.339,912.958867470644
0.34,916.058954585551
0.341,919.046638589587
0.342,922.261914689886
0.343,925.524484965675
0.344,928.807911729481
0.345,931.886293899987
